date,asset,weight,score,sector,regime_label,regime_reason,dominant_category_effects,ow_reason
2025-10-31,PLTR,0.0815039543373473,0.0219881365684504,Technology,Risk-on growth,"Global equities were positive, volatility was subdued, and growth leadership dominated value.","fundamental:0.0211, sentiment:-0.0122, stock_price:0.0087",Sales 1Y growth (0.50); Sales 3M growth (0.48); EPS 1Y growth (0.44)
2025-10-31,MU,0.0815039543373473,0.020628631867048,Technology,Risk-on growth,"Global equities were positive, volatility was subdued, and growth leadership dominated value.","fundamental:0.0211, sentiment:-0.0122, stock_price:0.0087",medium-term momentum (0.48); news sentiment trend (0.48); 63-day return strength (0.46)
2025-10-31,LITE,0.0815039543373473,0.100238005112664,Technology,Risk-on growth,"Global equities were positive, volatility was subdued, and growth leadership dominated value.","fundamental:0.0211, sentiment:-0.0122, stock_price:0.0087",long-term momentum (0.48); EPS 1Y growth (0.48); Sales 1Y growth (0.46)
2025-10-31,JPM,0.0140313331137766,0.0524235749256283,Financials,Risk-on growth,"Global equities were positive, volatility was subdued, and growth leadership dominated value.","fundamental:0.0211, sentiment:-0.0122, stock_price:0.0087",Sales revision momentum (0.41); EPS revision momentum (0.38); large-cap support (0.34)
2025-10-31,SPGI,0.0140313331137766,0.0419629269383509,Financials,Risk-on growth,"Global equities were positive, volatility was subdued, and growth leadership dominated value.","fundamental:0.0211, sentiment:-0.0122, stock_price:0.0087",target price upside (0.40); Sales revision momentum (0.34); high operating margin (0.34)
2025-11-28,MU,0.0749401461162468,0.0564409000283748,Technology,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","sentiment:-0.0212, fundamental:0.0100, macro:-0.0066",news sentiment trend (0.48); medium-term momentum (0.46); EPS 3M growth (0.46)
2025-11-28,000660,0.0749401461162468,0.0315319296747422,Technology,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","sentiment:-0.0212, fundamental:0.0100, macro:-0.0066",Sales 3M growth (0.50); FCF yield (0.50); medium-term momentum (0.48)
2025-11-28,005930,0.0749401461162468,0.0172897983944872,Technology,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","sentiment:-0.0212, fundamental:0.0100, macro:-0.0066",EPS 3M growth (0.50); FCF yield (0.48); target price upside (0.44)
2025-11-28,MA,0.0099892657297025,0.0631334115762607,Financials,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","sentiment:-0.0212, fundamental:0.0100, macro:-0.0066",high ROE (0.48); high operating margin (0.46); large-cap support (0.26)
2025-11-28,SPGI,0.0099892657297025,0.0296907976243932,Financials,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","sentiment:-0.0212, fundamental:0.0100, macro:-0.0066",Sales revision momentum (0.42); 21-day return strength (0.34); EPS revision momentum (0.34)
2025-12-31,PLTR,0.0859550573868747,0.0489296906158045,Technology,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","macro:-0.0122, sentiment:0.0107, fundamental:0.0093",Sales 1Y growth (0.48); EPS 1Y growth (0.40); EPS 3M growth (0.38)
2025-12-31,MU,0.0859550573868747,0.0175845621125815,Technology,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","macro:-0.0122, sentiment:0.0107, fundamental:0.0093",EPS 3M growth (0.50); EPS 1Y growth (0.50); Sales 3M growth (0.50)
2025-12-31,005930,0.0859550573868747,0.0011767993373188,Technology,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","macro:-0.0122, sentiment:0.0107, fundamental:0.0093",21-day return strength (0.48); EPS 3M growth (0.48); sector-relative 21D return (0.48)
2025-12-31,V,0.0152941434495143,0.0373525107955331,Financials,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","macro:-0.0122, sentiment:0.0107, fundamental:0.0093",analyst recommendation improvement (0.48); high operating margin (0.44); news sentiment trend (0.38)
2025-12-31,MA,0.0152941434495143,0.0509088570979274,Financials,Cyclical reflation,"Financials outperformed defensives, consistent with a cyclical risk appetite.","macro:-0.0122, sentiment:0.0107, fundamental:0.0093",high ROE (0.48); high operating margin (0.46); analyst recommendation improvement (0.44)
2026-01-30,META,0.0602271660674597,-0.0082487294862651,Technology,Commodity rotation,Energy outperformed consumer discretionary alongside positive oil momentum.,"macro:-0.0505, fundamental:0.0416, stock_price:-0.0215",EPS revision momentum (0.50); large-cap support (0.40); sector-relative 21D return (0.36)
2026-01-30,MU,0.0602271660674597,0.1614884649408448,Technology,Commodity rotation,Energy outperformed consumer discretionary alongside positive oil momentum.,"macro:-0.0505, fundamental:0.0416, stock_price:-0.0215",63-day return strength (0.50); EPS 1Y growth (0.50); news sentiment trend (0.50)
2026-01-30,LITE,0.0602271660674597,0.0300233766153188,Technology,Commodity rotation,Energy outperformed consumer discretionary alongside positive oil momentum.,"macro:-0.0505, fundamental:0.0416, stock_price:-0.0215",medium-term momentum (0.50); long-term momentum (0.50); 63-day return strength (0.48)
2026-01-30,BLK,0.0102331955372122,-0.0114898325704131,Financials,Commodity rotation,Energy outperformed consumer discretionary alongside positive oil momentum.,"macro:-0.0505, fundamental:0.0416, stock_price:-0.0215",EPS revision momentum (0.44); Sales revision momentum (0.44); FCF yield (0.27)
2026-01-30,SPGI,0.0102331955372122,-0.0340569823655365,Financials,Commodity rotation,Energy outperformed consumer discretionary alongside positive oil momentum.,"macro:-0.0505, fundamental:0.0416, stock_price:-0.0215",analyst recommendation improvement (0.36); medium-term momentum (0.30); high operating margin (0.30)
2026-02-27,MU,0.0681822602000226,0.1710868557292564,Technology,Commodity rotation,Energy outperformed consumer discretionary alongside positive oil momentum.,"stock_price:nan, stock_sector_relative:nan, fundamental:nan",news sentiment trend (0.50); medium-term momentum (0.48); Sales 3M growth (0.48)
2026-02-27,LITE,0.0681822602000226,0.0664512254817324,Technology,Commodity rotation,Energy outperformed consumer discretionary alongside positive oil momentum.,"stock_price:nan, stock_sector_relative:nan, fundamental:nan",21-day return strength (0.50); 63-day return strength (0.50); long-term momentum (0.50)
2026-02-27,000660,0.0681822602000226,0.1015064924524594,Technology,Commodity rotation,Energy outperformed consumer discretionary alongside positive oil momentum.,"stock_price:nan, stock_sector_relative:nan, fundamental:nan",Sales 3M growth (0.50); Sales 1Y growth (0.50); FCF yield (0.50)
2026-02-27,JPM,0.0078878033005451,-0.002302592384916,Financials,Commodity rotation,Energy outperformed consumer discretionary alongside positive oil momentum.,"stock_price:nan, stock_sector_relative:nan, fundamental:nan",analyst recommendation improvement (0.34); large-cap support (0.28); EPS revision momentum (0.20)
2026-02-27,MA,0.0078878033005451,0.0249872387630816,Financials,Commodity rotation,Energy outperformed consumer discretionary alongside positive oil momentum.,"stock_price:nan, stock_sector_relative:nan, fundamental:nan",high ROE (0.50); EPS revision momentum (0.42); high operating margin (0.42)
2026-03-06,MU,0.0636319343825411,0.0700744446528155,Technology,Risk-off,Global equity momentum was negative and volatility regime was elevated.,"stock_price:nan, stock_sector_relative:nan, fundamental:nan",Sales 3M growth (0.48); Sales 1Y growth (0.48); news sentiment trend (0.48)
2026-03-06,LITE,0.0636319343825411,0.1205353382048771,Technology,Risk-off,Global equity momentum was negative and volatility regime was elevated.,"stock_price:nan, stock_sector_relative:nan, fundamental:nan",63-day return strength (0.50); long-term momentum (0.50); sector-relative 63D return (0.50)
2026-03-06,005930,0.0636319343825411,0.1347959090346196,Technology,Risk-off,Global equity momentum was negative and volatility regime was elevated.,"stock_price:nan, stock_sector_relative:nan, fundamental:nan",medium-term momentum (0.50); EPS 3M growth (0.50); EPS 1Y growth (0.50)
2026-03-06,JPM,0.0143763321900802,0.0454245704354113,Financials,Risk-off,Global equity momentum was negative and volatility regime was elevated.,"stock_price:nan, stock_sector_relative:nan, fundamental:nan",EPS revision momentum (0.30); large-cap support (0.30); target price upside (0.18)
2026-03-06,MA,0.0143763321900802,0.0601572569139386,Financials,Risk-off,Global equity momentum was negative and volatility regime was elevated.,"stock_price:nan, stock_sector_relative:nan, fundamental:nan",high ROE (0.50); high operating margin (0.42); analyst recommendation improvement (0.38)
