date,top_long_sectors,top_gross_sectors,positive_style_tilts,negative_style_tilts,momentum,value,quality,growth,sentiment,size
2024-07-31,"Financials:0.023, Industrials:0.007, Technology:-0.247","Technology:0.816, Financials:0.114, Industrials:0.050",growth:0.599; quality:0.121; sentiment:-0.004,momentum:-0.220; size:-0.055; value:-0.052,-0.2204695857076513,-0.0524074773002963,0.12118833366102989,0.5991725890751527,-0.0035379400137309476,-0.05526741307196301
2024-08-30,"Financials:0.016, Technology:-0.002, Industrials:-0.004","Technology:0.701, Financials:0.101, Industrials:0.044",sentiment:0.015; size:-0.013; momentum:-0.043,quality:-0.315; value:-0.312; growth:-0.221,-0.04311876929091805,-0.3116724395141426,-0.31525682675572436,-0.22062090375348278,0.014545990099932286,-0.013177848433218724
2024-09-30,"Technology:0.093, Financials:0.014, Industrials:0.003","Technology:0.540, Financials:0.074, Industrials:0.035",growth:0.307; value:0.211; quality:-0.002,sentiment:-0.865; momentum:-0.143; size:-0.114,-0.14275260729437442,0.2105819194454581,-0.0024413047224565686,0.30656542215123905,-0.8653649784127121,-0.11424258961070137
2024-10-31,"Financials:0.006, Industrials:-0.002, Technology:-0.127","Technology:0.416, Financials:0.059, Industrials:0.026",momentum:0.861; growth:0.002; size:-0.030,value:-1.331; sentiment:-0.262; quality:-0.047,0.8606450020366281,-1.33134171793597,-0.047060968047283935,0.0018769255750461975,-0.2623875073979833,-0.02974944953148598
2024-11-29,"Industrials:-0.002, Financials:-0.011, Technology:-0.126","Technology:0.645, Financials:0.097, Industrials:0.043",sentiment:0.199; growth:0.097; size:-0.050,quality:-0.396; value:-0.380; momentum:-0.179,-0.1790073467121478,-0.38029146047253676,-0.3955353051570588,0.09749225113968273,0.1993167473632572,-0.04966285584148592
2024-12-31,"Financials:-0.007, Industrials:-0.009, Technology:-0.114","Technology:0.574, Financials:0.081, Industrials:0.034",momentum:0.789; sentiment:0.317; growth:0.249,value:-1.007; quality:-0.158; size:-0.099,0.7890594821943304,-1.0065987622231978,-0.1582508960353498,0.24883928718496826,0.31713293493149725,-0.09882597774709882
2025-01-31,"Industrials:0.015, Technology:-0.008, Financials:-0.018","Technology:0.541, Financials:0.084, Industrials:0.034",size:-0.011; growth:-0.294; sentiment:-0.339,value:-0.555; momentum:-0.508; quality:-0.354,-0.5079632447658514,-0.5549477203947563,-0.3542997497890481,-0.2941633368670633,-0.3394694207784439,-0.010519121677583803
2025-02-28,"Industrials:0.005, Financials:-0.021, Technology:-0.198","Technology:0.631, Financials:0.103, Industrials:0.038",value:0.517; sentiment:0.162; growth:0.068,quality:-0.418; size:-0.309; momentum:-0.213,-0.21331947172547464,0.5173067137589227,-0.4175852890993442,0.06794898719103055,0.1624254887392552,-0.3089012358105257
2025-03-31,"Technology:0.024, Financials:0.018, Industrials:-0.016","Technology:0.643, Financials:0.109, Industrials:0.041",momentum:0.699; sentiment:0.427; growth:0.146,value:-0.215; size:-0.031; quality:0.022,0.6989974479973283,-0.2152561680222812,0.022124473773673676,0.14621618471523629,0.42721964757937775,-0.03052815448844411
2025-04-30,"Technology:0.064, Financials:0.005, Industrials:-0.020","Technology:0.852, Financials:0.141, Industrials:0.054",growth:0.386; value:0.369; quality:0.132,momentum:-0.087; size:-0.055; sentiment:0.022,-0.08742501644104558,0.36863102756799043,0.13210054076249572,0.3864725296814247,0.021637108824160048,-0.05526883149497285
2025-05-30,"Technology:0.054, Industrials:0.010, Financials:-0.010","Technology:0.693, Financials:0.109, Industrials:0.044",momentum:0.408; value:0.347; growth:0.171,quality:-0.317; size:-0.093; sentiment:0.029,0.40751345509811304,0.34695210759181383,-0.31733557017031017,0.17077909486164547,0.028880465503307046,-0.09272422454127537
2025-06-30,"Financials:0.012, Industrials:-0.014, Technology:-0.029","Technology:0.693, Financials:0.103, Industrials:0.042",momentum:0.723; growth:0.606; quality:0.093,value:-0.099; size:-0.081; sentiment:-0.072,0.7226483631057135,-0.09912128253652402,0.09312052795034116,0.6058465109022628,-0.07204266205449347,-0.0808700391062632
2025-07-31,"Industrials:0.010, Financials:-0.008, Technology:-0.020","Technology:0.956, Financials:0.134, Industrials:0.057",value:1.030; momentum:-0.147; growth:-0.232,quality:-0.655; sentiment:-0.353; size:-0.275,-0.14710146291819887,1.0301742622378625,-0.6546541225878557,-0.23185120936100564,-0.35328896157702505,-0.275418594239668
2025-08-29,"Financials:0.011, Industrials:-0.003, Technology:-0.293","Technology:0.743, Financials:0.105, Industrials:0.042",sentiment:0.591; growth:0.267; momentum:0.177,value:-0.779; quality:-0.208; size:-0.095,0.17673345706312166,-0.7789210856299348,-0.20808097008203352,0.2672723339377108,0.5914638557228358,-0.09534049545001515
2025-09-30,"Financials:0.013, Industrials:0.009, Technology:-0.028","Technology:1.033, Financials:0.136, Industrials:0.058",value:0.442; sentiment:0.181; momentum:0.026,quality:-0.402; size:-0.198; growth:-0.081,0.025737003598745607,0.442302641698554,-0.40185860206729596,-0.08139003112649737,0.18095981475655068,-0.1979387245947776
2025-10-31,"Industrials:0.000, Financials:-0.002, Technology:-0.229","Technology:0.718, Financials:0.086, Industrials:0.039",momentum:0.320; growth:0.313; value:0.164,quality:-0.343; size:-0.290; sentiment:0.024,0.31951338519677047,0.1637631323747899,-0.3428389818686667,0.31258920373079424,0.02419112543662973,-0.2901698170445109
2025-11-28,"Financials:0.005, Industrials:-0.008, Technology:-0.008","Technology:0.458, Financials:0.055, Industrials:0.025",momentum:0.937; value:0.924; growth:0.341,quality:-0.257; size:-0.153; sentiment:0.236,0.9372849932258399,0.9237488524861073,-0.2566689474685459,0.34145677193779284,0.23550771578166135,-0.153432695176044
2025-12-31,"Financials:-0.005, Industrials:-0.007, Technology:-0.258","Technology:0.774, Financials:0.097, Industrials:0.042",momentum:0.970; growth:0.335; value:0.248,quality:-0.243; size:-0.196; sentiment:0.235,0.9696354253938555,0.2483306596840849,-0.2426131510144066,0.33475638752452036,0.23466078726263032,-0.19609487218927898
2026-01-30,"Industrials:-0.010, Financials:-0.013, Technology:-0.264","Technology:0.625, Financials:0.074, Industrials:0.038",sentiment:0.561; momentum:0.555; value:0.258,size:-0.281; quality:-0.219; growth:0.084,0.5548945247048405,0.25802646887626673,-0.21884431509115365,0.08402236821620468,0.561054294604352,-0.2807311524018873
2026-02-27,"Industrials:-0.013, Financials:-0.015, Technology:-0.116","Technology:0.525, Financials:0.062, Industrials:0.038",momentum:0.984; growth:0.191; sentiment:0.165,quality:-0.232; size:-0.230; value:-0.050,0.9844622997779415,-0.05014422221202092,-0.23166331517914465,0.19050536865565332,0.16489182696353163,-0.22983826779675998
2026-03-06,"Financials:0.019, Industrials:-0.012, Technology:-0.190","Technology:0.572, Financials:0.067, Industrials:0.039",momentum:1.123; value:0.011; growth:-0.024,sentiment:-0.392; quality:-0.343; size:-0.261,1.1234804940708525,0.01098081589696909,-0.34349462194252167,-0.0243857380784348,-0.39172545261037417,-0.2605052381942007
